Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-05-10,458.9,458.9,455.4,457.6,15.52,7083.012,456.379639175
2016-05-09,457.1,458.0,448.11,448.11,4.41,2016.8541,457.336530612
2016-05-08,456.5,458.9,456.5,458.9,6.17,2816.749,456.523338736
2016-05-07,449.01,458.9,449.01,458.9,5.07,2284.2076,450.534043393
2016-05-06,457.5,457.5,453.5,457.5,3.71,1684.0965,453.934366577
2016-05-05,455.0,455.0,451.0,452.0,4.8,2167.27,451.514583333
2016-05-04,453.0,455.0,451.0,452.5,14.71,6649.72,452.054384772
2016-05-03,451.99,454.0,448.0,454.0,12.34,5598.1195,453.656361426
2016-05-02,454.69,457.5,448.0,448.0,8.05,3658.6987,454.496732919
2016-05-01,454.0,458.0,448.02,448.02,11.29,5165.5404,457.532364925
2016-04-30,453.96,454.0,448.12,448.12,0.23,103.8667,451.594347826
2016-04-29,448.01,453.96,448.01,453.96,0.07,31.7177,453.11
2016-04-28,448.09,453.96,448.01,453.96,0.62,278.2756,448.831612903
2016-04-27,450.0,450.0,448.09,448.09,0.23,103.0798,448.173043478
2016-04-26,449.99,450.0,448.09,448.09,0.92,413.9608,449.957391304
2016-04-25,436.21,449.99,436.2,449.99,2.94,1316.9591,447.945272109
2016-04-24,453.94,453.94,453.94,453.94,0.05,22.697,453.94
2016-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-22,453.95,453.95,437.5,437.5,0.03,13.2895,442.983333333
2016-04-21,429.89,536.21,429.18,439.95,114.87,56036.7786,487.827793157
2016-04-20,429.55,429.89,429.55,429.89,1.63,700.7173,429.88791411
2016-04-19,429.88,429.89,424.74,424.76,0.58,248.7676,428.909655172
2016-04-18,429.87,429.87,424.7,427.98,9.8,4162.9852,424.794408163
2016-04-17,429.88,429.89,429.87,429.88,0.6,257.9314,429.885666667
2016-04-16,429.88,429.89,423.48,429.89,0.92,393.8957,428.1475
2016-04-15,425.5,429.89,425.5,429.89,0.29,124.4464,429.125517241
2016-04-14,429.88,429.88,423.38,425.45,0.06,25.6397,427.328333333
2016-04-13,425.67,425.67,425.67,425.67,0.05,21.2835,425.67
2016-04-12,417.0,429.84,417.0,424.9,2.79,1186.382,425.226523297
2016-04-11,426.36,426.36,411.01,411.01,0.04,16.9009,422.5225
2016-04-10,419.06,421.63,401.15,421.63,0.34,141.4065,415.901470588
2016-04-09,415.08,422.29,415.0,415.0,0.91,378.0072,415.392527473
2016-04-08,420.0,431.43,415.0,419.0,0.93,392.3281,421.858172043
2016-04-07,421.0,421.0,419.49,420.91,5.14,2163.4994,420.914280156
2016-04-06,426.9,431.27,421.47,422.0,11.15,4707.9634,422.238869955
2016-04-05,429.99,430.28,426.85,430.28,0.26,111.7649,429.865
2016-04-04,430.28,430.28,421.63,429.98,0.97,412.9516,425.723298969
2016-04-03,430.98,430.98,421.48,430.28,2.28,965.1814,423.325175439
2016-04-02,430.49,431.6,430.01,430.98,0.27,116.403,431.122222222
2016-04-01,426.0,426.0,421.47,426.0,2.68,1135.2797,423.611828358
2016-03-31,425.1,426.0,424.36,426.0,24.18,10262.217,424.409305211
2016-03-30,429.02,431.61,425.1,430.49,1.06,454.5969,428.865
2016-03-29,429.01,431.69,429.01,429.02,0.82,352.3097,429.64597561
2016-03-28,431.68,431.69,429.0,429.01,0.44,189.104,429.781818182
2016-03-27,431.67,431.69,425.02,431.67,2.93,1264.5417,431.584197952
2016-03-26,431.67,431.67,431.67,431.67,0.11,47.4837,431.67
2016-03-25,430.37,431.69,430.37,431.65,0.19,81.9859,431.504736842
2016-03-24,431.68,431.69,424.01,424.01,1.76,757.8472,430.595
2016-03-23,422.05,431.69,422.05,431.69,4.71,2016.5739,428.147324841
2016-03-22,430.48,430.48,426.0,430.47,6.73,2883.766,428.494205052
2016-03-21,430.0,432.84,429.19,430.48,25.2,10854.2669,430.724876984
2016-03-20,420.46,425.01,420.46,425.01,0.02,8.4547,422.735
2016-03-19,427.01,439.99,420.0,420.01,0.48,205.5656,428.261666667
2016-03-18,438.36,439.99,427.0,427.0,0.74,318.1955,429.993918919
2016-03-17,434.91,449.0,429.02,449.0,3.46,1540.9763,445.368872832
2016-03-16,431.81,434.91,431.81,434.91,1.17,506.7553,433.124188034
2016-03-15,427.42,431.81,427.42,431.81,0.28,120.3617,429.863214286
2016-03-14,428.77,428.77,427.41,428.58,0.46,196.6788,427.562608696
2016-03-13,431.7,431.7,427.41,428.78,1.44,620.5162,430.914027778
2016-03-12,431.59,431.98,431.59,431.96,0.27,116.5945,431.831481481
2016-03-11,426.84,428.01,426.0,426.01,0.78,333.1979,427.176794872
2016-03-10,420.01,427.47,420.01,426.85,1.42,603.9738,425.333661972
2016-03-09,425.43,427.5,415.66,417.02,1.38,577.2195,418.275
2016-03-08,426.3,431.88,410.64,422.33,1.64,697.7875,425.480182927
2016-03-07,412.06,426.2,401.15,426.01,30.4,12663.3618,416.557953947
2016-03-06,418.04,431.11,417.0,420.3,1.13,473.6922,419.196637168
2016-03-05,426.43,434.92,413.32,422.21,11.31,4733.1704,418.49428824
2016-03-04,428.0,431.77,415.0,415.0,436.64,186679.625,427.536700715
2016-03-03,419.77,434.9,419.75,428.0,5.28,2253.9795,426.890056818
2016-03-02,448.92,448.92,400.0,434.87,763.83,329878.8578,431.874707461
2016-03-01,449.8,449.8,399.62,448.88,503.91,215860.09,428.370324066
2016-02-29,440.91,449.69,439.33,449.69,2.63,1161.8593,441.771596958
2016-02-28,435.0,440.0,430.67,435.38,1.72,751.4615,436.89622093
